,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
4711,3,16800000.0,84.0,55.0,11.0,4.64752841005319,5.0,1.0,1.0,0.0,10.0,10.0,0.0
4712,2,16800000.0,52.0,29.0,8.0,2.826665749533817,5.0,1.0,1.0,0.0,4.0,14.0,0.0
4713,1,16812514.0,42.0,0.0,1.0,2.920392355582761,5.0,1.0,1.0,1.0,4.0,7.0,0.0
4714,1,16824060.0,58.0,58.0,0.0,4.139642209514533,7.0,1.0,0.0,1.0,2.0,5.0,0.0
4715,1,16840000.0,42.0,34.0,8.0,2.470624387921546,10.0,1.0,1.0,0.0,2.0,8.0,0.0
4716,2,16899000.0,40.0,23.0,7.0,1.5908153379972987,5.0,1.0,0.0,0.0,14.0,17.0,0.0
4717,2,16900000.0,41.0,27.0,5.0,1.734975246482913,10.0,1.0,1.0,0.0,4.0,8.0,0.0
4718,3,16900000.0,71.0,48.0,8.0,2.837874285185123,7.0,1.0,1.0,0.0,3.0,5.0,0.0
4719,2,16900000.0,46.0,28.0,7.0,3.066710178753868,7.0,1.0,0.0,0.0,5.0,13.0,0.0
4720,2,16900000.0,40.0,20.0,16.0,2.387462688417998,15.0,1.0,1.0,0.0,4.0,9.0,0.0
4721,1,16920000.0,42.0,30.0,2014.0,2.470624387921546,8.0,1.0,1.0,0.0,5.0,9.0,0.0
4722,3,16945600.0,68.0,0.0,1.0,4.0793683027816625,5.0,1.0,0.0,0.0,3.0,5.0,0.0
4723,2,16945600.0,68.0,0.0,1.0,4.0793683027816625,5.0,1.0,0.0,0.0,3.0,5.0,0.0
4724,2,16950000.0,58.0,43.0,6.0,2.162866385072165,7.0,1.0,0.0,0.0,1.0,7.0,0.0
4725,2,17000000.0,58.0,36.0,6.0,3.228224043125246,7.0,1.0,0.0,0.0,1.0,6.0,0.0
4726,3,17000000.0,66.0,45.0,9.0,3.44270129714033,6.0,1.0,1.0,0.0,5.0,5.0,0.0
4727,2,17000000.0,55.0,33.0,9.0,4.199353772335168,7.0,1.0,1.0,0.0,8.0,9.0,0.0
4728,2,16900000.0,50.0,30.0,6.0,1.847190813715483,5.0,1.0,1.0,0.0,3.0,5.0,0.0
